typeCode,freqCode,refPeriodId,refYear,refMonth,period,reporterCode,reporterISO,reporterDesc,flowCode,flowDesc,partnerCode,partnerISO,partnerDesc,partner2Code,partner2ISO,partner2Desc,classificationCode,classificationSearchCode,isOriginalClassification,cmdCode,cmdDesc,aggrLevel,isLeaf,customsCode,customsDesc,mosCode,motCode,motDesc,qtyUnitCode,qtyUnitAbbr,qty,isQtyEstimated,altQtyUnitCode,altQtyUnitAbbr,altQty,isAltQtyEstimated,netWgt,isNetWgtEstimated,grossWgt,isGrossWgtEstimated,cifvalue,fobvalue,primaryValue,legacyEstimationFlag,isReported,isAggregate
"C","A","20210101","2021","52","2021","72","BWA","Botswana","M","Import","231","ETH","Ethiopia","0","W00","World","S4","S4","false","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","86366.772",,"86366.772","0","false","true",
"C","A","20210101","2021","52","2021","72","BWA","Botswana","M","Import","233","EST","Estonia","0","W00","World","S4","S4","false","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","84973.704",,"84973.704","0","false","true",
"C","A","20210101","2021","52","2021","72","BWA","Botswana","M","Import","239","SGS","South Georgia and the South Sandwich Islands","0","W00","World","S4","S4","false","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","2819.974",,"2819.974","0","false","true",
"C","A","20210101","2021","52","2021","72","BWA","Botswana","M","Import","246","FIN","Finland","0","W00","World","S4","S4","false","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","17644625.026",,"17644625.026","0","false","true",
"C","A","20210101","2021","52","2021","72","BWA","Botswana","M","Import","251","FRA","France","0","W00","World","S4","S4","false","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","80405124.295",,"80405124.295","4","false","true",
"C","A","20210101","2021","52","2021","72","BWA","Botswana","M","Import","258","PYF","French Polynesia","0","W00","World","S4","S4","false","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","3787.611",,"3787.611","0","false","true",
"C","A","20210101","2021","52","2021","72","BWA","Botswana","M","Import","262","DJI","Djibouti","0","W00","World","S4","S4","false","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","6851.929",,"6851.929","0","false","true",
"C","A","20210101","2021","52","2021","72","BWA","Botswana","M","Import","266","GAB","Gabon","0","W00","World","S4","S4","false","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","4926.579",,"4926.579","0","false","true",
"C","A","20210101","2021","52","2021","72","BWA","Botswana","M","Import","268","GEO","Georgia","0","W00","World","S4","S4","false","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","7770.433",,"7770.433","0","false","true",
"C","A","20210101","2021","52","2021","72","BWA","Botswana","M","Import","270","GMB","Gambia","0","W00","World","S4","S4","false","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","183.254",,"183.254","0","false","true",
"C","A","20210101","2021","52","2021","72","BWA","Botswana","M","Import","276","DEU","Germany","0","W00","World","S4","S4","false","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","53467960.378",,"53467960.378","4","false","true",
"C","A","20210101","2021","52","2021","72","BWA","Botswana","M","Import","288","GHA","Ghana","0","W00","World","S4","S4","false","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","41810.533",,"41810.533","0","false","true",
"C","A","20210101","2021","52","2021","72","BWA","Botswana","M","Import","300","GRC","Greece","0","W00","World","S4","S4","false","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","621265.087",,"621265.087","0","false","true",
"C","A","20210101","2021","52","2021","72","BWA","Botswana","M","Import","320","GTM","Guatemala","0","W00","World","S4","S4","false","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","5518.582",,"5518.582","0","false","true",
"C","A","20210101","2021","52","2021","72","BWA","Botswana","M","Import","324","GIN","Guinea","0","W00","World","S4","S4","false","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","6.383",,"6.383","0","false","true",
"C","A","20210101","2021","52","2021","72","BWA","Botswana","M","Import","332","HTI","Haiti","0","W00","World","S4","S4","false","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","4903.563",,"4903.563","0","false","true",
"C","A","20210101","2021","52","2021","72","BWA","Botswana","M","Import","336","VAT","Holy See (Vatican City State)","0","W00","World","S4","S4","false","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","610.333",,"610.333","0","false","true",
"C","A","20210101","2021","52","2021","72","BWA","Botswana","M","Import","340","HND","Honduras","0","W00","World","S4","S4","false","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","7116.547",,"7116.547","0","false","true",
"C","A","20210101","2021","52","2021","72","BWA","Botswana","M","Import","344","HKG","China, Hong Kong SAR","0","W00","World","S4","S4","false","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","true","0","false","32433106.706",,"32433106.706","4","false","true",
"C","A","20210101","2021","52","2021","72","BWA","Botswana","M","Import","348","HUN","Hungary","0","W00","World","S4","S4","false","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","5727677.748",,"5727677.748","0","false","true",
"C","A","20210101","2021","52","2021","72","BWA","Botswana","M","Import","352","ISL","Iceland","0","W00","World","S4","S4","false","TOTAL","All Commodities","0","false","C00","TOTAL CPC","0","0","TOTAL MOT","-1","N/A","0","false","-1","N/A","0","false","0","false","0","false","429.465",,"429.465","0","false","true",
