reporterISO,flowCode,refYear,regime_index,primaryValue,share
AUT,M,2011,1.0,12368587457.0,6.82
AUT,M,2011,2.0,12969342728.0,7.15
AUT,M,2011,3.0,145130331269.0,80.01
AUT,M,2012,0.0,11389438593.073,7.11
AUT,M,2012,1.0,7695113286.134,4.8
AUT,M,2012,2.0,11618287773.549,7.25
AUT,M,2012,3.0,129480740432.684,80.83
AUT,M,2013,0.0,10870512920.426,6.56
AUT,M,2013,1.0,7557039102.629,4.56
AUT,M,2013,2.0,13440403463.385,8.11
AUT,M,2013,3.0,133814727317.51201,80.77
AUT,M,2014,0.0,12061002038.628,7.25
AUT,M,2014,1.0,8650710967.757,5.2
AUT,M,2014,2.0,13163053826.292,7.91
AUT,M,2014,3.0,132584827180.963,79.65
AUT,M,2015,0.0,11381952585.967001,7.96
AUT,M,2015,1.0,6724777155.301,4.7
AUT,M,2015,2.0,9858263166.231,6.89
AUT,M,2015,3.0,115100655336.48601,80.45
AUT,M,2016,0.0,11415625769.753998,7.84
AUT,M,2016,1.0,6775273286.836,4.66
AUT,M,2016,2.0,9851671986.374,6.77
AUT,M,2016,3.0,117485971390.589,80.73
AUT,M,2017,0.0,12223808102.845001,7.59
AUT,M,2017,1.0,7770911013.985,4.82
AUT,M,2017,2.0,15905889681.813,9.87
AUT,M,2017,3.0,125184454482.742,77.71
AUT,M,2018,0.0,14299857045.445002,7.96
AUT,M,2018,1.0,11142216904.961,6.2
AUT,M,2018,2.0,17204911514.121,9.58
AUT,M,2018,3.0,136943696817.005,76.25
AUT,M,2019,0.0,13316612077.44,7.71
AUT,M,2019,1.0,17500301278.043,10.14
AUT,M,2019,2.0,12272328010.645,7.11
AUT,M,2019,3.0,129561536244.694,75.04
AUT,M,2020,0.0,13032236520.297,8.08
AUT,M,2020,1.0,14375674978.403,8.91
AUT,M,2020,2.0,16434667661.894,10.19
AUT,M,2020,3.0,117505683987.04399,72.83
AUT,M,2021,0.0,17959323610.370003,8.78
AUT,M,2021,1.0,19088708993.442,9.33
AUT,M,2021,2.0,31313967883.931,15.31
AUT,M,2021,3.0,136217930175.83101,66.58
AUT,M,2022,0.0,22661225453.001,10.54
AUT,M,2022,1.0,18691330677.986,8.69
AUT,M,2022,2.0,36133878996.747,16.8
AUT,M,2022,3.0,137610163268.764,63.98
AUT,M,2023,0.0,22293796788.942,10.52
AUT,M,2023,1.0,19004428014.463,8.97
AUT,M,2023,2.0,21253070382.345,10.03
AUT,M,2023,3.0,149431684952.13602,70.49
AUT,X,2000,0.0,1420125285.0,2.25
AUT,X,2000,1.0,2492592252.0,3.94
AUT,X,2000,2.0,2409769770.0,3.81
AUT,X,2000,3.0,56927628744.0,90.0
AUT,X,2001,0.0,1917416957.0,2.9
AUT,X,2001,1.0,2249073594.0,3.41
AUT,X,2001,2.0,3463424032.0,5.25
AUT,X,2001,3.0,58380183845.0,88.44
AUT,X,2002,0.0,2431280077.0,3.36
AUT,X,2002,1.0,2339980000.0,3.23
AUT,X,2002,2.0,3948909647.0,5.45
AUT,X,2002,3.0,63689026773.0,87.96
AUT,X,2003,0.0,2343519696.0,2.65
AUT,X,2003,1.0,3226230977.0,3.65
AUT,X,2003,2.0,5204866433.0,5.89
AUT,X,2003,3.0,77524881279.0,87.8
AUT,X,2004,0.0,2949999481.0,2.69
AUT,X,2004,1.0,4168246329.0,3.8
AUT,X,2004,2.0,6704451870.0,6.11
AUT,X,2004,3.0,95996010605.0,87.41
AUT,X,2005,0.0,3302401612.0,2.84
AUT,X,2005,1.0,5050111479.0,4.34
AUT,X,2005,2.0,7089842032.0,6.09
AUT,X,2005,3.0,101028096818.0,86.74
AUT,X,2006,0.0,3778225824.0,2.83
AUT,X,2006,1.0,6519494736.0,4.89
AUT,X,2006,2.0,9300655617.0,6.97
AUT,X,2006,3.0,113802600783.0,85.31
AUT,X,2007,0.0,5012558118.0,3.22
AUT,X,2007,1.0,7520406715.0,4.82
AUT,X,2007,2.0,12601994806.0,8.08
AUT,X,2007,3.0,130743872768.0,83.88
AUT,X,2008,0.0,6430889438.0,3.75
AUT,X,2008,1.0,8727914762.0,5.09
AUT,X,2008,2.0,14361497189.0,8.37
AUT,X,2008,3.0,142026418871.0,82.79
AUT,X,2009,0.0,5581695649.0,4.26
AUT,X,2009,1.0,6879508318.0,5.25
AUT,X,2009,2.0,9911315701.0,7.57
AUT,X,2009,3.0,108556418279.0,82.91
AUT,X,2010,0.0,6461378260.0,4.48
AUT,X,2010,1.0,7281296512.0,5.05
AUT,X,2010,2.0,10711296650.0,7.43
AUT,X,2010,3.0,119709996698.0,83.04
AUT,X,2011,0.0,7071929566.0,4.22
AUT,X,2011,1.0,9316450875.0,5.56
AUT,X,2011,2.0,17074025044.0,10.19
AUT,X,2011,3.0,134038692750.0,80.02
AUT,X,2012,0.0,6951556411.831,4.53
AUT,X,2012,1.0,9361014787.737,6.1
AUT,X,2012,2.0,15393619979.264,10.03
AUT,X,2012,3.0,121741806801.605,79.34
AUT,X,2013,0.0,7670389153.821,4.75
AUT,X,2013,1.0,9962469394.666,6.17
AUT,X,2013,2.0,16042897088.63,9.93
AUT,X,2013,3.0,127913679213.101,79.16
AUT,X,2014,0.0,8339472901.781,5.05
AUT,X,2014,1.0,10630992028.884,6.44
AUT,X,2014,2.0,16570922823.387999,10.04
AUT,X,2014,3.0,129447951099.285,78.46
AUT,X,2015,0.0,7172207800.841,5.08
AUT,X,2015,1.0,7952673721.536,5.63
AUT,X,2015,2.0,13624237673.128,9.64
AUT,X,2015,3.0,112511588547.901,79.65
AUT,X,2016,0.0,6633858892.1449995,4.72
AUT,X,2016,1.0,7598445618.606999,5.4
AUT,X,2016,2.0,13870859543.315,9.86
AUT,X,2016,3.0,112562713375.41501,80.02
AUT,X,2017,0.0,7066571605.542,4.54
AUT,X,2017,1.0,8269274615.589,5.31
AUT,X,2017,2.0,20666221866.615,13.28
AUT,X,2017,3.0,119642790997.629,76.87
AUT,X,2018,0.0,7906901024.383,4.51
AUT,X,2018,1.0,9669285025.597,5.52
AUT,X,2018,2.0,22963631017.119,13.11
AUT,X,2018,3.0,134668420690.54199,76.86
AUT,X,2019,0.0,7827921848.202,4.61
AUT,X,2019,1.0,16061882896.291,9.46
AUT,X,2019,2.0,16791150528.347,9.89
AUT,X,2019,3.0,129031304545.34401,76.03
AUT,X,2020,0.0,6881270302.067,4.28
AUT,X,2020,1.0,14369796252.388,8.94
AUT,X,2020,2.0,20083653430.732998,12.5
AUT,X,2020,3.0,119352826879.87799,74.28
AUT,X,2021,0.0,8418870572.982999,4.37
AUT,X,2021,1.0,17078499272.629,8.86
AUT,X,2021,2.0,33202258202.523,17.23
AUT,X,2021,3.0,133997557070.301,69.54
AUT,X,2022,0.0,8697158194.246,4.33
AUT,X,2022,1.0,17092781759.814,8.5
AUT,X,2022,2.0,37993165691.606,18.9
AUT,X,2022,3.0,137273905637.813,68.28
AUT,X,2023,0.0,8963566930.012,4.2
AUT,X,2023,1.0,17765029781.979,8.32
AUT,X,2023,2.0,29229530847.947,13.68
AUT,X,2023,3.0,157648575914.499,73.8
BEL,M,2000,0.0,7423174877.0,4.22
BEL,M,2000,1.0,5761996385.0,3.27
BEL,M,2000,2.0,9120333724.0,5.18
BEL,M,2000,3.0,153715467494.0,87.33
