reporterCode,reporterISO,reporterDesc,partnerCode,partnerISO,partnerDesc,flowCode,flowDesc,refYear,primaryValue
76,BRA,Brazil,84,BLZ,Belize,X,Export,2000,1985746
76,BRA,Brazil,86,IOT,Br. Indian Ocean Terr.,X,Export,2000,1126
76,BRA,Brazil,92,VGB,Br. Virgin Isds,X,Export,2000,6047815
76,BRA,Brazil,96,BRN,Brunei Darussalam,X,Export,2000,9761
76,BRA,Brazil,100,BGR,Bulgaria,X,Export,2000,37018423
76,BRA,Brazil,104,MMR,Myanmar,X,Export,2000,945275
76,BRA,Brazil,108,BDI,Burundi,X,Export,2000,313615
76,BRA,Brazil,112,BLR,Belarus,X,Export,2000,5896927
76,BRA,Brazil,116,KHM,Cambodia,X,Export,2000,455313
76,BRA,Brazil,120,CMR,Cameroon,X,Export,2000,6685249
76,BRA,Brazil,124,CAN,Canada,X,Export,2000,565248302
76,BRA,Brazil,132,CPV,Cabo Verde,X,Export,2000,3749001
76,BRA,Brazil,136,CYM,Cayman Isds,X,Export,2000,79980718
76,BRA,Brazil,140,CAF,Central African Rep.,X,Export,2000,34809
76,BRA,Brazil,144,LKA,Sri Lanka,X,Export,2000,11640565
76,BRA,Brazil,152,CHL,Chile,X,Export,2000,1245602706
76,BRA,Brazil,156,CHN,China,X,Export,2000,1084859711
76,BRA,Brazil,170,COL,Colombia,X,Export,2000,513695105
76,BRA,Brazil,174,COM,Comoros,X,Export,2000,119931
76,BRA,Brazil,178,COG,Congo,X,Export,2000,3823934
76,BRA,Brazil,180,COD,Dem. Rep. of the Congo,X,Export,2000,490742
76,BRA,Brazil,188,CRI,Costa Rica,X,Export,2000,119747508
76,BRA,Brazil,191,HRV,Croatia,X,Export,2000,24082794
76,BRA,Brazil,192,CUB,Cuba,X,Export,2000,94506690
76,BRA,Brazil,196,CYP,Cyprus,X,Export,2000,5465600
76,BRA,Brazil,203,CZE,Czechia,X,Export,2000,37230563
76,BRA,Brazil,204,BEN,Benin,X,Export,2000,2979824
76,BRA,Brazil,208,DNK,Denmark,X,Export,2000,121096351
76,BRA,Brazil,212,DMA,Dominica,X,Export,2000,768257
76,BRA,Brazil,214,DOM,Dominican Rep.,X,Export,2000,131597651
76,BRA,Brazil,218,ECU,Ecuador,X,Export,2000,133038395
76,BRA,Brazil,222,SLV,El Salvador,X,Export,2000,41649247
76,BRA,Brazil,226,GNQ,Equatorial Guinea,X,Export,2000,242648
76,BRA,Brazil,231,ETH,Ethiopia,X,Export,2000,8348252
76,BRA,Brazil,233,EST,Estonia,X,Export,2000,2794228
76,BRA,Brazil,238,FLK,Falkland Isds (Malvinas),X,Export,2000,2250
76,BRA,Brazil,242,FJI,Fiji,X,Export,2000,738357
76,BRA,Brazil,246,FIN,Finland,X,Export,2000,128411398
76,BRA,Brazil,251,FRA,France,X,Export,2000,1789951537
76,BRA,Brazil,258,PYF,French Polynesia,X,Export,2000,641469
76,BRA,Brazil,262,DJI,Djibouti,X,Export,2000,1402375
76,BRA,Brazil,266,GAB,Gabon,X,Export,2000,2535855
76,BRA,Brazil,268,GEO,Georgia,X,Export,2000,3217312
76,BRA,Brazil,270,GMB,Gambia,X,Export,2000,14194887
76,BRA,Brazil,276,DEU,Germany,X,Export,2000,2524701057
76,BRA,Brazil,288,GHA,Ghana,X,Export,2000,42858044
76,BRA,Brazil,292,GIB,Gibraltar,X,Export,2000,1660417
76,BRA,Brazil,300,GRC,Greece,X,Export,2000,143948324
76,BRA,Brazil,304,GRL,Greenland,X,Export,2000,11862
76,BRA,Brazil,308,GRD,Grenada,X,Export,2000,1216771
76,BRA,Brazil,316,GUM,Guam,X,Export,2000,229293
76,BRA,Brazil,320,GTM,Guatemala,X,Export,2000,76691838
76,BRA,Brazil,324,GIN,Guinea,X,Export,2000,3792650
76,BRA,Brazil,328,GUY,Guyana,X,Export,2000,4629624
76,BRA,Brazil,332,HTI,Haiti,X,Export,2000,17255615
76,BRA,Brazil,340,HND,Honduras,X,Export,2000,31599162
76,BRA,Brazil,344,HKG,"China, Hong Kong SAR",X,Export,2000,475051770
76,BRA,Brazil,348,HUN,Hungary,X,Export,2000,84842886
76,BRA,Brazil,352,ISL,Iceland,X,Export,2000,810638
76,BRA,Brazil,360,IDN,Indonesia,X,Export,2000,218765191
76,BRA,Brazil,364,IRN,Iran,X,Export,2000,292842246
76,BRA,Brazil,368,IRQ,Iraq,X,Export,2000,17694473
76,BRA,Brazil,372,IRL,Ireland,X,Export,2000,100782112
76,BRA,Brazil,376,ISR,Israel,X,Export,2000,70994807
