reporterISO,flowCode,refYear,regime_index,primaryValue
BWA,X,2015,1.0,331116696.672
BWA,X,2015,2.0,2515625744.203
BWA,X,2015,3.0,2895914960.092
BWA,X,2016,0.0,999232771.0
BWA,X,2016,1.0,506444462.0
BWA,X,2016,2.0,2953928655.0
BWA,X,2016,3.0,2861034909.0
BWA,X,2017,0.0,1297857403.428
BWA,X,2017,1.0,1716424537.809
BWA,X,2017,2.0,746699574.894
BWA,X,2017,3.0,2201916859.491
BWA,X,2018,0.0,1359722253.412
BWA,X,2018,1.0,2043585555.021
BWA,X,2018,2.0,815703407.061
BWA,X,2018,3.0,2498724487.032
BWA,X,2019,0.0,1273495775.7519999
BWA,X,2019,1.0,1576423442.718
BWA,X,2019,2.0,686161764.661
BWA,X,2019,3.0,1776754958.3990002
BWA,X,2020,0.0,1150658123.5709999
BWA,X,2020,1.0,1305002975.332
BWA,X,2020,2.0,658873897.905
BWA,X,2020,3.0,1261920369.917
BWA,X,2021,0.0,2405956424.075
BWA,X,2021,1.0,1825849183.546
BWA,X,2021,2.0,829595328.877
BWA,X,2021,3.0,2402101973.73
BWA,X,2022,0.0,3112497338.8939996
BWA,X,2022,1.0,1815507648.2580001
BWA,X,2022,2.0,1074437369.977
BWA,X,2022,3.0,2362367124.783
BWA,X,2023,0.0,2330827238.79
BWA,X,2023,1.0,916079645.074
BWA,X,2023,2.0,987940793.926
BWA,X,2023,3.0,1234277492.997
HUN,M,2000,0.0,1117103000.0
HUN,M,2000,1.0,3833475000.0
HUN,M,2000,2.0,1618636000.0
HUN,M,2000,3.0,24982798000.0
HUN,M,2001,0.0,1528636000.0
HUN,M,2001,1.0,3900637000.0
HUN,M,2001,2.0,1743497000.0
HUN,M,2001,3.0,25965485000.0
HUN,M,2002,0.0,2355854000.0
HUN,M,2002,1.0,4088674000.0
HUN,M,2002,2.0,2199316000.0
HUN,M,2002,3.0,28310511000.0
HUN,M,2003,0.0,3678601000.0
HUN,M,2003,1.0,4969363000.0
HUN,M,2003,2.0,2525623000.0
HUN,M,2003,3.0,35677880000.0
HUN,M,2004,0.0,3629093000.0
HUN,M,2004,1.0,5615681000.0
HUN,M,2004,2.0,2269927000.0
HUN,M,2004,3.0,48127559000.0
HUN,M,2005,0.0,4905634000.0
HUN,M,2005,1.0,7092340000.0
HUN,M,2005,2.0,2747558000.0
HUN,M,2005,3.0,50221904000.0
HUN,M,2006,0.0,5224328000.0
HUN,M,2006,1.0,8041197000.0
HUN,M,2006,2.0,4182118000.0
HUN,M,2006,3.0,58287689000.0
HUN,M,2007,0.0,7215348000.0
HUN,M,2007,1.0,8593620000.0
HUN,M,2007,2.0,5336798000.0
HUN,M,2007,3.0,71578159000.0
HUN,M,2008,0.0,7751996000.0
HUN,M,2008,1.0,12547600000.0
HUN,M,2008,2.0,6274812000.0
HUN,M,2008,3.0,80216319000.0
HUN,M,2009,0.0,6136884000.0
HUN,M,2009,1.0,7703866000.0
HUN,M,2009,2.0,4098659000.0
HUN,M,2009,3.0,58133993000.0
HUN,M,2010,0.0,7691824000.0
HUN,M,2010,1.0,9345027000.0
HUN,M,2010,2.0,4434531000.0
HUN,M,2010,3.0,64563450000.0
HUN,M,2011,0.0,7298141000.0
HUN,M,2011,1.0,12024677000.0
HUN,M,2011,2.0,5864924000.0
HUN,M,2011,3.0,74785840000.0
HUN,M,2012,0.0,6332593184.0
HUN,M,2012,1.0,11296374643.0
HUN,M,2012,2.0,5378479612.0
HUN,M,2012,3.0,70109104932.0
HUN,M,2013,0.0,6225177383.0
HUN,M,2013,1.0,12571985877.0
HUN,M,2013,2.0,6004353676.0
HUN,M,2013,3.0,73493375864.0
HUN,M,2014,0.0,6363503008.0
HUN,M,2014,1.0,11688612516.0
HUN,M,2014,2.0,5531523666.0
HUN,M,2014,3.0,79780994573.0
HUN,M,2015,0.0,5903199763.0
HUN,M,2015,1.0,7389695007.0
HUN,M,2015,2.0,5027562773.0
HUN,M,2015,3.0,71767518130.0
HUN,M,2016,0.0,6187696102.0
HUN,M,2016,1.0,6600645783.0
HUN,M,2016,2.0,10375548748.0
HUN,M,2016,3.0,68385790063.0
HUN,M,2017,0.0,6854509078.0
HUN,M,2017,1.0,9403601881.0
HUN,M,2017,2.0,11280074398.0
HUN,M,2017,3.0,76153175303.0
HUN,M,2018,0.0,8039665280.0
HUN,M,2018,1.0,12019103774.0
HUN,M,2018,2.0,12523006813.0
HUN,M,2018,3.0,84231603500.0
HUN,M,2019,0.0,8797258985.0
HUN,M,2019,1.0,9930770237.0
HUN,M,2019,2.0,20239783829.0
HUN,M,2019,3.0,77666888939.0
HUN,M,2020,0.0,11029278093.0
HUN,M,2020,1.0,8433460929.0
HUN,M,2020,2.0,25058092024.0
HUN,M,2020,3.0,68155151639.0
HUN,M,2021,0.0,13146878570.0
HUN,M,2021,1.0,10184395647.0
HUN,M,2021,2.0,43698362851.0
HUN,M,2021,3.0,71115596785.0
HUN,M,2022,0.0,14406909772.0
HUN,M,2022,1.0,19379995458.0
HUN,M,2022,2.0,40423789782.0
HUN,M,2022,3.0,83995637584.0
HUN,M,2023,0.0,11967226621.0
HUN,M,2023,1.0,14667065368.0
HUN,M,2023,2.0,37235827493.0
HUN,M,2023,3.0,84191074794.0
HUN,M,2024,0.0,12351000443.0
HUN,M,2024,1.0,13277628126.0
HUN,M,2024,2.0,46715327699.0
HUN,M,2024,3.0,78238018121.0
HUN,X,2000,0.0,182260000.0
HUN,X,2000,1.0,1138759000.0
HUN,X,2000,2.0,1452853000.0
HUN,X,2000,3.0,25058296000.0
HUN,X,2001,0.0,294947000.0
HUN,X,2001,1.0,1145058000.0
HUN,X,2001,2.0,1817728000.0
HUN,X,2001,3.0,26991701000.0
HUN,X,2002,0.0,483229000.0
HUN,X,2002,1.0,1212425000.0
HUN,X,2002,2.0,2088994000.0
HUN,X,2002,3.0,30254582000.0
HUN,X,2003,0.0,907354000.0
HUN,X,2003,1.0,1530783000.0
HUN,X,2003,2.0,2652258000.0
HUN,X,2003,3.0,37560850000.0
HUN,X,2004,0.0,1344426000.0
HUN,X,2004,1.0,2090540000.0
HUN,X,2004,2.0,4012752000.0
HUN,X,2004,3.0,47436286000.0
