reporterISO,flowCode,refYear,regime_index,primaryValue,share
AUT,M,2013,3.0,133112785692.502,80.34
AUT,M,2014,0.0,13408771089.268,8.06
AUT,M,2014,1.0,8578074852.811001,5.15
AUT,M,2014,2.0,11864008032.429,7.13
AUT,M,2014,3.0,132608740039.132,79.66
AUT,M,2015,0.0,11381952585.967001,7.96
AUT,M,2015,1.0,6640555335.169,4.64
AUT,M,2015,2.0,10002787021.556,6.99
AUT,M,2015,3.0,115040353301.293,80.41
AUT,M,2016,0.0,11415636519.929998,7.84
AUT,M,2016,1.0,6718408581.4279995,4.62
AUT,M,2016,2.0,13746475540.779,9.45
AUT,M,2016,3.0,113648021791.416,78.09
AUT,M,2017,0.0,12223808102.845001,7.59
AUT,M,2017,1.0,8633947448.016,5.36
AUT,M,2017,2.0,15000028524.038,9.31
AUT,M,2017,3.0,125227279206.48601,77.74
AUT,M,2018,0.0,13328946136.231,7.42
AUT,M,2018,1.0,17251728231.2,9.61
AUT,M,2018,2.0,12264373496.449,6.83
AUT,M,2018,3.0,136745634417.65201,76.14
AUT,M,2019,0.0,13310650429.115002,7.71
AUT,M,2019,1.0,16634703060.960999,9.63
AUT,M,2019,2.0,16812959623.352,9.74
AUT,M,2019,3.0,125892464497.394,72.92
AUT,M,2020,0.0,13037374626.311,8.08
AUT,M,2020,1.0,14420792402.935,8.94
AUT,M,2020,2.0,23559787316.47,14.6
AUT,M,2020,3.0,110330308801.922,68.38
AUT,M,2021,0.0,19602641391.062,9.58
AUT,M,2021,1.0,17496366657.778,8.55
AUT,M,2021,2.0,33299117506.718998,16.28
AUT,M,2021,3.0,134181805108.01501,65.59
AUT,M,2022,0.0,22666875896.074997,10.54
AUT,M,2022,1.0,20101062317.712,9.35
AUT,M,2022,2.0,21681889327.796,10.08
AUT,M,2022,3.0,150646770854.915,70.04
AUT,M,2023,0.0,21416189330.467,10.1
AUT,M,2023,1.0,19256085295.193,9.08
AUT,M,2023,2.0,26185161126.939,12.35
AUT,M,2023,3.0,145125544385.28702,68.46
AUT,X,2000,0.0,1448836977.0,2.29
AUT,X,2000,1.0,1859100713.0,2.94
AUT,X,2000,2.0,3014549617.0,4.77
AUT,X,2000,3.0,56927628744.0,90.0
AUT,X,2001,0.0,1917416957.0,2.9
AUT,X,2001,1.0,2235713816.0,3.39
AUT,X,2001,2.0,3476783810.0,5.27
AUT,X,2001,3.0,58380183845.0,88.44
AUT,X,2002,0.0,2377603797.0,3.28
AUT,X,2002,1.0,2384007315.0,3.29
AUT,X,2002,2.0,3958558612.0,5.47
AUT,X,2002,3.0,63689026773.0,87.96
AUT,X,2003,0.0,2343463390.0,2.65
AUT,X,2003,1.0,3213308948.0,3.64
AUT,X,2003,2.0,5209493564.0,5.9
AUT,X,2003,3.0,77533232483.0,87.81
AUT,X,2004,0.0,2925686175.0,2.66
AUT,X,2004,1.0,4340583330.0,3.95
AUT,X,2004,2.0,6508461303.0,5.93
AUT,X,2004,3.0,96043977477.0,87.46
AUT,X,2005,0.0,3251748986.0,2.79
AUT,X,2005,1.0,5114294540.0,4.39
AUT,X,2005,2.0,7065636051.0,6.07
AUT,X,2005,3.0,101038772364.0,86.75
AUT,X,2006,0.0,3777013790.0,2.83
AUT,X,2006,1.0,5941974262.0,4.45
AUT,X,2006,2.0,9879388125.0,7.41
AUT,X,2006,3.0,113802600783.0,85.31
AUT,X,2007,0.0,5278400055.0,3.39
