reporterISO,refYear,flowCode,v2x_regime,primaryValue,share
AGO,2016,X,0.0,14777161055.43,55.02
AGO,2016,X,1.0,850160805.8299999,3.17
AGO,2016,X,2.0,4121956951.58,15.35
AGO,2016,X,3.0,7106544218.860001,26.46
AGO,2017,M,0.0,3129264592.25,20.31
AGO,2017,M,1.0,2356757028.54,15.3
AGO,2017,M,2.0,2188745867.47,14.21
AGO,2017,M,3.0,7730462856.59,50.18
AGO,2017,X,0.0,20992458786.44,63.38
AGO,2017,X,1.0,4090903387.65,12.35
AGO,2017,X,2.0,2635886659.67,7.96
AGO,2017,X,3.0,5401065480.72,16.31
AGO,2018,M,0.0,3252618412.737,20.46
AGO,2018,M,1.0,4236140577.8030005,26.64
AGO,2018,M,2.0,1764575306.369,11.1
AGO,2018,M,3.0,6645160621.747,41.8
AGO,2018,X,0.0,26174053627.585,65.28
AGO,2018,X,1.0,4525505525.349,11.29
AGO,2018,X,2.0,2083408039.9990003,5.2
AGO,2018,X,3.0,7313429677.285,18.24
AGO,2019,M,0.0,2836680670.454,20.42
AGO,2019,M,1.0,1944531961.102,14.0
AGO,2019,M,2.0,1477307623.264,10.64
AGO,2019,M,3.0,7630219468.442,54.94
AGO,2019,X,0.0,23371762479.524002,66.89
AGO,2019,X,1.0,4228452923.887,12.1
AGO,2019,X,2.0,1165905951.362,3.34
AGO,2019,X,3.0,6172395382.28,17.67
AGO,2020,M,0.0,2036226740.963,21.99
AGO,2020,M,1.0,1332294071.375,14.39
AGO,2020,M,2.0,1381997437.315,14.92
AGO,2020,M,3.0,4511132081.441999,48.71
AGO,2020,X,0.0,15242463343.767,70.64
AGO,2020,X,1.0,2495281127.04,11.56
AGO,2020,X,2.0,690626388.294,3.2
AGO,2020,X,3.0,3149817998.949,14.6
AGO,2021,M,0.0,2307297421.9160004,20.33
AGO,2021,M,1.0,2261894551.692,19.93
AGO,2021,M,2.0,1574829441.03,13.88
AGO,2021,M,3.0,5202886711.254,45.85
AGO,2021,X,0.0,22551248480.893997,66.67
AGO,2021,X,1.0,4677780736.429,13.83
AGO,2021,X,2.0,1669927133.328,4.94
AGO,2021,X,3.0,4925660581.386,14.56
AGO,2022,M,0.0,3986081436.904,22.57
AGO,2022,M,1.0,2219215043.165,12.57
AGO,2022,M,2.0,2376611290.381,13.46
AGO,2022,M,3.0,9078039151.411,51.4
AGO,2022,X,0.0,24623669591.656998,49.37
AGO,2022,X,1.0,6573155244.114,13.18
AGO,2022,X,2.0,3691193429.084,7.4
AGO,2022,X,3.0,14987983236.390999,30.05
AGO,2023,M,0.0,3798166993.802,24.23
AGO,2023,M,1.0,2717804071.245,17.34
AGO,2023,M,2.0,3747855618.505,23.91
AGO,2023,M,3.0,5413630331.365,34.53
AGO,2023,X,0.0,19774857380.821,50.89
AGO,2023,X,1.0,4782188302.764,12.31
AGO,2023,X,2.0,4245615748.5550003,10.93
AGO,2023,X,3.0,10054092431.852,25.87
AIA,2000,M,0.0,71100.0,0.08
AIA,2000,M,1.0,81106.0,0.09
AIA,2000,M,2.0,10325956.0,11.83
AIA,2000,M,3.0,76786865.0,87.99
AIA,2000,X,2.0,281965.0,7.49
AIA,2000,X,3.0,3480132.0,92.51
AIA,2001,M,0.0,46676.0,0.07
AIA,2001,M,1.0,19559.0,0.03
AIA,2001,M,2.0,6505744.0,9.13
AIA,2001,M,3.0,64693737.0,90.78
AIA,2001,X,2.0,187149.0,9.47
AIA,2001,X,3.0,1788641.0,90.53
AIA,2002,M,0.0,78636.0,0.12
AIA,2002,M,1.0,1004510.0,1.58
AIA,2002,M,2.0,6807868.0,10.7
AIA,2002,M,3.0,55708021.0,87.59
AIA,2002,X,0.0,2214.0,0.07
AIA,2002,X,2.0,208811.0,6.13
AIA,2002,X,3.0,3192739.0,93.8
AIA,2003,M,0.0,95008.0,0.14
AIA,2003,M,1.0,409045.0,0.59
AIA,2003,M,2.0,8206120.0,11.88
